"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0266^1","+0.48","+0.37","+1.32","TMO‑Non","TMO‑Non"
"SLH0267^1","+0.41","+0.49","+1.47","UNK‑Non","TMO‑Non"
"SLH0268^1","+0.61","+0.53","+1.02","UNK‑Non","TMO‑Non"
"SLH0269^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0270^1","+0.92","+0.96","+0.37","0.95","TMO‑Non"
"SLH0271^1","+0.29","+0.37","+0.44","TMO‑Non","5.57"
"SLH0272^1","+0.79","+0.95","+2.48","1.04","TMO‑Non"
"SLH0273^1","+0.37","+0.13","+1.93","6.97","GUP‑Non"
"SLH0274^1","TMO‑Non","+13.56","+3.97","2.28","TMO‑Non"
"SLH0275^1","+0.45","+0.46","+1.59","TMO‑Non","TMO‑Non"
"SLH0276^1","+0.29","+0.42","+0.39","7.56","TMO‑Non"
"SLH0277^1","+0.34","+0.43","+1.42","UNK‑Non","TMO‑Non"
"SLH0278^1","+0.44","+0.35","+1.47","3.44","TMO‑Non"
"SLH0279^1","+0.43","+0.36","UNK‑Non","1.85","UNK‑Non"
"SLH0280^1","+0.90","+1.04","+1.22","UNK‑Non","TMO‑Non"
"SLH0281^1","+0.34","+0.42","+1.49","7.83","TMO‑Non"
"SLH0282^1","+0.42","+0.45","+0.39","TMO‑Non","TMO‑Non"
"SLH0283^1","+1.61","+1.78","+1.46","1.09","TMO‑Non"
"SLH0284^1","+1.02","+0.73","+1.62","1.13","TMO‑Non"
"SLH0285^1","+0.93","+0.73","+1.57","2.36","TMO‑Non"
"SLH0286^1","+0.34","+0.42","+0.90","TMO‑Non","13.03"
"SLH0287^1","+3.92","+1.21","+1.47","1.27","TMO‑Non"
"SLH0288^1","+0.90","+1.04","+0.37","1.49","TMO‑Non"
"SLH0289^1","+0.53","+0.38","+0.43","TMO‑Non","GUP‑Non"
"SLH0290^1","+1.63","+2.02","+0.42","1.17","TMO‑Non"
"SLH0291^1","+1.98","+1.00","+2.63","1.44","TMO‑Non"
"SLH0292^1","TMO‑Non","TMO‑Non","GUP‑Non","1.67","4.61"
"SLH0293^1","+0.72","+0.56","GUP‑Non","7.50","8.99"
"SLH0294^1","+0.37","+0.45","+1.85","8.02","TMO‑Non"
