phase,contract_id,min_side_literals,min_main_literals,min_positive_choices,records,problems,families,aggregate_ratio,p95_ratio,maximum_problem_median_ratio,problem_balanced_median_ratio,maximum_estimated_bytes,sample_eligible,calibration_gate
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,4,4,3987,14,11,11.843496872307888,7.9835911861228315,84.03965517241379,17.203509701678513,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,4,8,2355,10,8,11.10980909249253,7.088458798385181,122.6217008797654,16.273108691324452,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,4,16,612,8,6,16.80800596123529,8.629637481450073,176.768574908648,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,4,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,5,0,6314,14,12,12.685855693527243,9.417205692108668,114.9,24.400142304684106,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,5,4,3796,12,10,12.248227005459041,8.110141766630317,84.03965517241379,23.051183686509706,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,5,8,2336,10,8,11.122593046487099,7.056251477192153,122.6217008797654,16.305237156248452,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,5,16,610,8,6,16.818397292532804,8.629637481450073,176.768574908648,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,5,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,6,0,6076,14,12,12.614039742403996,9.220342522974102,114.9,25.541627601135154,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,6,4,3677,12,10,12.18823855085141,8.035015290519878,78.225,23.394389213756313,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,6,8,2281,10,8,11.041163591272259,7.0618496433999765,135.26722925457102,15.824557425344821,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,6,16,602,8,6,16.779980214629784,8.629637481450073,176.768574908648,24.67226573812158,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,6,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,7,0,2986,12,10,11.731083791506506,7.092377519690295,114.9,27.240846066779852,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,7,4,1912,9,7,11.248879394970066,6.70744623365395,98.90499390986602,25.607705779334502,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,7,8,1255,9,7,9.687228951562876,6.379764839749668,142.6797900262467,18.338777979431338,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,7,16,417,7,5,15.266523324296532,8.473593073593074,176.768574908648,27.836121275483535,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,7,32,21,3,3,32.6407299644859,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,8,0,2030,10,9,10.429326069576872,6.531291463954003,114.9,20.355615507593924,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,8,4,1285,8,7,9.914074840930109,6.374786243587308,46.92578125,18.93466640405056,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,8,8,825,8,7,8.276391824734342,6.150275045840973,218.15,17.290698861800514,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,8,16,262,6,5,14.034669845670855,6.160616939236804,90.8063851699279,25.122155926820994,61976,True,False
